TEMPO,TIPO,ANO
34.49,SIHOSP,2009
35.95,SISTEMA,2009
63.62,COMPUTADOR,2009
73.37,NAO LIGA,2009
53.31,SISTEMA,2009
93.35,SIHOSP,2009
34.48,SISTEMA,2009
93.48,ERRO,2009
48.4,SIHOSP,2009
10.64,SISTEMA,2009
82.3,SIHOSP,2009
91.57,MOUSE,2009
34.49,SISTEMA,2009
10.64,SIHOSP,2009
53.55,SISTEMA,2009
19.59,IMPRESSORA,2009
53.58,SISTEMA,2009
56.68,ERRO,2009
22.67,COMPUTADOR,2009
64.58,SISTEMA,2009
73.61,IMPRESSORA,2009
20.6,IMPRESSORA,2009
16.55,SISTEMA,2009
16.55,SISTEMA,2009
6.64,ERRO,2009
19.61,SISTEMA,2009
33.48,COMPUTADOR,2009
11.48,SISTEMA,2009
20.59,SISTEMA,2009
39.58,SIHOSP,2009
41.5,ERRO,2009
5.37,SISTEMA,2009
35.27,SISTEMA,2009
5.27,SISTEMA,2009
34.66,SISTEMA,2009
5.26,SIHOSP,2009
5.36,SIHOSP,2009
8.5,ERRO,2009
2.29,SISTEMA,2009
9.37,SISTEMA,2009
16.48,SISTEMA,2009
41.48,SIHOSP,2009
14.48,SIHOSP,2009
10.5,IMPRESSORA,2009
35.5,COMPUTADOR,2009
15.49,ERRO,2009
7.36,ERRO,2009
1.57,SISTEMA,2009
13.66,SISTEMA,2009
8.57,COMPUTADOR,2009
28.56,COMPUTADOR,2009
31.32,IMPRESSORA,2009
57.68,ERRO,2009
55.36,SISTEMA,2009
64.39,SISTEMA,2009
34.3,COMPUTADOR,2009
8.5,IMPRESSORA,2009
18.57,IMPRESSORA,2009
47.34,SISTEMA,2009
47.32,SISTEMA,2009
47.32,SISTEMA,2009
47.67,SISTEMA,2009
7.34,SIHOSP,2009
61.31,COMPUTADOR,2009
2.3,SISTEMA,2009
6.67,COMPUTADOR,2009
52.66,COMPUTADOR,2009
52.65,COMPUTADOR,2009
52.65,COMPUTADOR,2009
2.48,IMPRESSORA,2009
7.28,SIHOSP,2009
5.28,SISTEMA,2009
5.3,COMPUTADOR,2009
26.3,COMPUTADOR,2009
5.62,ERRO,2009
1.61,SIHOSP,2009
22.61,SISTEMA,2009
60.58,SISTEMA,2009
12.52,SISTEMA,2009
1.51,IMPRESSORA,2009
9.49,NAO LIGA,2009
9.49,SISTEMA,2009
85.6,IMPRESSORA,2009
9.6,SISTEMA,2009
3.59,SIHOSP,2009
2.59,SIHOSP,2009
9.59,SISTEMA,2009
4.58,SIHOSP,2009
1.58,IMPRESSORA,2009
51.35,SIHOSP,2009
12.28,SISTEMA,2009
9.65,IMPRESSORA,2009
9.64,ERRO,2009
1.61,TECLADO,2009
1.61,SIHOSP,2009
1.6,IMPRESSORA,2009
23.48,SISTEMA,2009
9.63,SISTEMA,2009
9.63,IMPRESSORA,2009
22.62,SISTEMA,2009
22.62,SIHOSP,2009
11.62,SIHOSP,2009
6.39,SISTEMA,2009
11.28,SISTEMA,2009
4.57,IMPRESSORA,2009
1.57,NAO LIGA,2009
1.57,IMPRESSORA,2009
9.56,SISTEMA,2009
1.56,IMPRESSORA,2009
1.56,MOUSE,2009
1.54,IMPRESSORA,2009
85.53,IMPRESSORA,2009
85.62,IMPRESSORA,2009
1.62,IMPRESSORA,2009
11.62,SIHOSP,2009
62.61,IMPRESSORA,2009
85.61,IMPRESSORA,2009
9.61,NAO LIGA,2009
1.61,SISTEMA,2009
1.61,NAO LIGA,2009
4.6,SIHOSP,2009
1.6,NAO LIGA,2009
11.6,IMPRESSORA,2009
85.6,IMPRESSORA,2009
7.37,SISTEMA,2009
1.24,SISTEMA,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
9.58,IMPRESSORA,2009
13.36,ERRO,2009
1.26,ERRO,2009
4.39,COMPUTADOR,2009
85.58,IMPRESSORA,2009
9.58,SIHOSP,2009
85.58,IMPRESSORA,2009
22.57,ERRO,2009
1.57,NAO LIGA,2009
1.57,NAO LIGA,2009
